Provider CCN,Hospital Name,Fiscal Year Begin Date,Fiscal Year End Date,number_of_beds
33034,YUMA REHABILITATION HOSPITAL  AN AFF,1/1/2021,12/31/2021,51
34013,ST. LUKES BEHAVIORAL HEALTH CENTER,6/1/2021,5/31/2022,127
53031,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,86
54157,GLENDORA OAKS BEHAVIORAL HEALTH HOSP,1/1/2021,6/16/2021,21
103028,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,126
103031,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,116
103033,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,76
103040,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,75
103042,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,80
113032,REHABILITATION HOSPITAL OF NEWNAN,10/1/2020,9/30/2021,60
153025,ENCOMPASS HEALTH DEACONESS REHABILIT,1/1/2021,12/31/2021,98
183027,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,51
190017,OPELOUSAS GENERAL HOSPITAL,7/1/2021,6/30/2022,197
213028,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,74
230059,SAINT MARYS HEALTH CARE,7/1/2021,6/30/2022,303
240040,RANGE REGIONAL HEALTH SERVICES,1/1/2021,12/31/2021,72
240050,FAIRVIEW LAKES REGIONAL MEDICAL CTR,1/1/2021,12/31/2021,55
240064,GRAND ITASCA CLINIC AND HOSPITAL,1/1/2021,12/31/2021,36
240078,FAIRVIEW SOUTHDALE HOSPITAL,1/1/2021,12/31/2021,332
240141,FAIRVIEW NORTHLAND REG,1/1/2021,12/31/2021,34
263027,RUSK REHABILITATION HOSPITAL  AN AFF,1/1/2021,12/31/2021,60
313035,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,60
323027,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,87
330175,GUTHRIE CORTLAND MEDICAL CENTER,7/1/2021,6/30/2022,173
423025,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,96
423026,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,88
423027,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,49
423029,ANMED HEALTH REHABILITATION HOSPITAL,1/1/2021,12/31/2021,60
443029,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,80
443031,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,50
443036,WEST TENNESSEE HEALTHCARE REHABILITA,10/1/2020,9/30/2021,48
453029,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,74
453040,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,85
453057,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,80
460003,SALT LAKE REGIONAL MEDICAL CENTER,9/1/2021,8/31/2022,136
493028,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,40
493029,UVA ENCOMPASS HEALTH REHABILITATION,1/1/2021,12/31/2021,50
42008,CHRISTUS DUBUIS HOSPITAL OF FORT SMI,9/1/2021,8/31/2022,25
50169,PIH HEALTH WHITTIER HOSPITAL,10/1/2020,9/30/2021,428
50393,PIH HEALTH DOWNEY HOSPITAL,10/1/2020,9/30/2021,165
54149,WILLOW ROCK CENTER,7/1/2021,6/30/2022,
111314,LIFE BRITE COMMUNITY HOSPITAL OF EA,10/1/2020,12/31/2020,152
141304,GENESIS MEDICAL CENTER - ALEDO,7/1/2021,6/30/2022,22
161313,GENESIS MEDICAL CENTER - DEWITT,7/1/2021,6/30/2022,13
192012,CHRISTUS DUBUIS - ALEXANDRIA,9/1/2021,8/31/2022,25
204008,RIVERVIEW PSYCHIATRIC HOSPITAL,7/1/2021,6/30/2022,92
281303,NIOBRARA VALLEY HOSPITAL,9/1/2021,8/31/2022,15
342013,PAM SPECIALTY HOSP. OF ROCKY MOUNT,9/1/2021,8/31/2022,50
364040,MENTAL HEALTH SRVS FOR CLARK COUNTY,7/1/2021,6/30/2022,16
452056,POST ACUTE MEDICAL VICTORIA,9/1/2021,8/31/2022,23
453053,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,60
460017,BRIGHAM CITY COMMUNITY HOSPITAL,9/1/2021,8/31/2022,40
20017,ALASKA REGIONAL HOSPITAL,1/1/2021,12/31/2021,176
53034,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,48
53040,ENCOMPASS HEALTH REHABILITATION HOSP,10/1/2020,9/30/2021,50
121300,KAUAI VETERANS MEMORIAL HOSPITAL,7/1/2021,6/30/2022,45
144035,LINDEN OAKS HOSPITAL,7/1/2021,6/30/2022,110
192015,OCHSNER EXTENDED CARE HOSPITAL,9/1/2021,8/31/2022,35
230077,ST. MARYS OF MICHIGAN,7/1/2021,6/30/2022,226
50289,SETON MEDICAL CENTER,1/27/2021,6/30/2021,478
52033,VIBRA HOSPITAL OF SACRAMENTO,9/1/2021,8/31/2022,58
64001,CO MENTAL HEALTH INSTITUTE - PUEBLO,7/1/2021,6/30/2022,516
64003,COLORADO MENTAL HEALTH INST-FT LOGAN,7/1/2021,6/30/2022,94
104001,BROWARD,7/1/2021,6/30/2022,
111329,ST MARYS GOOD SAMARITAN,7/1/2021,6/30/2022,25
194025,CENTRAL LA. STATE HOSPITAL,7/1/2021,6/30/2022,148
230019,ASCENSION PROVIDENCE HOSPITAL,7/1/2021,6/30/2022,599
230035,SPECTRUM HEALTH UNITED MEMORIAL,1/1/2021,12/31/2021,85
271345,CENTRAL MONTANA MEDICAL CENTER,7/1/2021,6/30/2022,25
281332,BUTLER COUNTY HEALTH CARE CENTER,7/1/2021,6/30/2022,20
292004,PAM SPECIALTY HOSPITAL OF SPARKS,9/1/2021,8/31/2022,21
293032,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,90
373034,ST. JOHN REHABILITATION HOSPITAL  AN,10/1/2020,9/30/2021,60
384008,OREGON STATE HOSPITAL,7/1/2021,6/30/2022,578
392025,POST ACUTE MEDICAL AT NANTICOKE,9/1/2021,8/31/2022,36
394014,WERNERSVILLE STATE HOSPITAL,7/1/2021,6/30/2022,266
422005,VIBRA HOSPITAL OF CHARLESTON  LLC,9/1/2021,8/31/2022,59
452042,CHRISTUS DUBUIS HOSPITAL OF,9/1/2021,8/31/2022,33
452059,PAM SPC HOSP OF SAN ANTONIO MED CTR,9/1/2021,8/31/2022,62
452061,PAM SQUARED AT TEXARKANA,9/1/2021,8/31/2022,30
452086,PAM SQUARED AT CORPUS CHRISTI,9/1/2021,8/31/2022,41
452090,WARM SPRINGS SPECIALTY HOSP OF SA,9/1/2021,8/31/2022,26
460039,BEAR RIVER VALLEY HOSPITAL,1/1/2021,12/31/2021,14
494022,POPLAR SPRINGS HOSPITAL,9/1/2021,8/31/2022,168
673057,WARM SPRINGS REHAB HOSP KYLE,9/1/2021,8/31/2022,40
21313,SOUTH PENINSULA HOSPITAL,7/1/2021,6/30/2022,49
83026,ENCOMPASS HEALTH REHABILITATION HOSP,10/1/2020,9/30/2021,40
272001,ADVANCED CARE HOSPITAL OF MONTANA,9/1/2021,8/31/2022,40
372018,POST ACUTE MEDICAL TULSA,9/1/2021,8/31/2022,60
394012,CLARKS SUMMIT STATE  HOSPITAL,7/1/2021,6/30/2022,203
431318,BOWDLE HOSPITAL,7/1/2021,6/30/2022,46
450119,SOUTH TEXAS HEALTH SYSTEM,1/1/2021,12/31/2021,838
453301,DRISCOLL CHILDRENS HOSPITAL,9/1/2021,8/31/2022,191
500030,ST. JOSEPH MEDICAL CENTER,7/1/2021,6/30/2022,248
12009,NOLAND HOSPITAL BIRMINGHAM II,9/1/2021,8/31/2022,79
12010,NOLAND HOSPITAL DOTHAN II,9/1/2021,8/31/2022,38
12011,NOLAND HOSPITAL ANNISTON II,9/1/2021,8/31/2022,38
12012,NOLAND HOSPITAL TUSCALOOSA II,9/1/2021,8/31/2022,32
32000,CURAHEALTH PHOENIX NORTHWEST,9/1/2021,8/31/2022,58
50441,STANFORD HEALTH CARE,9/1/2021,8/31/2022,603
102012,CURAHEALTH JACKSONVILLE LLC,9/1/2021,8/31/2022,107
140275,GENESIS MEDICAL CENTER - SILVIS,7/1/2021,6/30/2022,145
160033,GENESIS MEDICAL CENTER - DAVENPORT,7/1/2021,6/30/2022,359
161332,MANNING REGIONAL HEALTHCARE CENTER,7/1/2021,6/30/2022,17
194008,EAST LA STATE MENTAL HEALTH SYSTEM,7/1/2021,6/30/2022,334
222002,PAM SPECIALTY HOSPITAL OF STOUGHTON,9/1/2021,8/31/2022,88
222046,VIBRA HOSPITAL OF WESTERN MASSACHUSE,9/1/2021,8/31/2022,77
223026,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,179
223029,FAIRLAWN REHABILITATION HOSPITAL  AN,10/1/2020,9/30/2021,110
230099,MONROE REGIONAL HOSPITAL,1/1/2021,12/31/2021,147
250134,WHITFIELD MEDICAL SURGICAL CENTER,7/1/2021,6/30/2022,32
293033,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,50
310021,ST. FRANCIS - TRENTON,7/1/2021,6/30/2022,134
321304,UNION COUNTY GEN. HOSPITAL,7/1/2021,6/30/2022,25
330277,CORNING HOSPITAL,7/1/2021,6/30/2022,65
362028,PAM SPECIALTY HOSPITAL OF DAYTON,9/1/2021,8/31/2022,44
372004,CURAHEALTH OKLAHOMA CITY,9/1/2021,8/31/2022,59
392028,CURAHEALTH PITTSBURGH,9/1/2021,8/31/2022,63
392043,CURAHEALTH HERITAGE VALLEY,9/1/2021,8/31/2022,35
394001,NORRISTOWN STATE HOSPITAL,7/1/2021,6/30/2022,374
394016,WARREN STATE HOSPITAL,7/1/2021,6/30/2022,152
460015,LOGAN REGIONAL HOSPITAL,1/1/2021,12/31/2021,132
490069,MEMORIAL REGIONAL MEDICAL CENTER,9/1/2021,8/31/2022,199
490094,RICHMOND COMMUNITY HOSPITAL,9/1/2021,8/31/2022,96
491308,RAPPAHANNOCK GENERAL HOSPITAL,9/1/2021,8/31/2022,35
50038,SANTA CLARA VALLEY MEDICAL CENTER,7/1/2021,6/30/2022,934
54089,JEWISH HOME FOR THE AGED,7/1/2021,6/30/2022,375
112006,EMORY LONG TERM ACUTE CARE,9/1/2021,8/31/2022,56
112018,LANDMARK HOSPITAL OF SAVANNAH,9/1/2021,8/31/2022,50
113031,EMORY REHABILITATION HOSPITAL,9/1/2021,8/31/2022,56
140018,MOUNT SINAI HOSPITAL MEDICAL CENTER,7/1/2021,6/30/2022,264
140133,HOLY CROSS HOSPITAL,7/1/2021,6/30/2022,155
220086,BETH ISRAEL DEACONESS MEDICAL CENTER,10/1/2020,9/30/2021,743
244005,CHILD & ADOLESCENT BEH. HEALTH SRVS.,7/1/2021,6/30/2022,5
244011,ANNANDALE BEHAVIORAL HEALTH HSP,7/1/2021,6/30/2022,16
244017,CBHH- ROCHESTER,7/1/2021,6/30/2022,16
350002,ST ALEXIUS MEDICAL CENTER,7/1/2021,6/30/2022,202
351303,GARRISON MEMORIAL HOSPITAL,7/1/2021,6/30/2022,48
351333,MERCY HOSPITAL,7/1/2021,6/30/2022,25
351334,MERCY MEDICAL CENTER,7/1/2021,6/30/2022,25
351336,ST JOSEPHS HOSPITAL & HEALTH CTR,7/1/2021,6/30/2022,25
370028,INTEGRIS BAPTIST MEDICAL CENTER,7/1/2021,6/30/2022,650
370106,INTEGRIS SOUTHWEST MEDICAL CENTER,7/1/2021,6/30/2022,236
371327,OKEENE MUNICIPAL HOSPITAL,7/1/2021,6/30/2022,17
450076,UT MD ANDERSON CANCER CENTER,9/1/2021,8/31/2022,698
452029,CONTINUECARE HOSPITAL AT HENDRICK MC,9/1/2021,8/31/2022,23
453054,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,63
462004,KPC PROMISE HOSPITAL OF SALT LAKE,9/1/2021,8/31/2022,41
501335,ENUMCLAW REGIONAL HOSPITAL DBA SEH,7/1/2021,6/30/2022,25
521354,SOUTHWEST HEALTH CENTER,7/1/2021,6/30/2022,35
673072,COBALT REHABILITATION HOUSTON HEIGHT,9/1/2021,8/31/2022,34
32006,KPC PROMISE HOSPITAL OF PHOENIX,9/1/2021,8/31/2022,48
43031,CHI ST. VINCENT SHERWOOD REHABILITAT,1/1/2021,12/31/2021,80
143025,SCHWAB REHAB HOSP & CARE NETWORK,7/1/2021,6/30/2022,52
192011,PAM SPECIALTY HOSPITAL OF SHREVEPORT,9/1/2021,8/31/2022,54
192032,LA EXTENDED CARE OF LAFAYETTE,9/1/2021,8/31/2022,66
192055,LA EXTENDED CARE OF WEST MONROE,9/1/2021,8/31/2022,21
240207,FAIRVIEW RIDGES HOSPITAL,1/1/2021,12/31/2021,172
252008,KPC PROMISE HOSPITAL OF VICKSBURG,9/1/2021,8/31/2022,35
271332,GLENDIVE MEDICAL CENTER INC,7/1/2021,6/30/2022,61
330202,NYC HEALTH+HOSPITAL/KINGS COUNTY,7/1/2021,6/30/2022,634
370016,BASS BAPTIST HEALTH CENTER,7/1/2021,6/30/2022,110
441323,BIG SOUTH FORK MEDICAL CENTER,6/30/2021,12/31/2021,25
500011,HIGHLINE MEDICAL CENTER,7/1/2021,6/30/2022,110
500021,ST CLARE HOSPITAL,7/1/2021,6/30/2022,106
52050,KINDRED HOSPITAL SOUTH BAY,9/1/2021,8/31/2022,62
61308,CONEJOS COUNTY HOSPITAL,7/1/2021,6/30/2022,17
140019,HSHS GOOD SHEPHERD HOSPITAL,7/1/2021,6/30/2022,30
172004,KPC PROMISE HOSPITAL OF OVERLAND PK,9/1/2021,8/31/2022,108
241301,LAKEWOOD HEALTH CENTER,7/1/2021,6/30/2022,47
312022,SSH WILLINGBORO,9/1/2021,8/31/2022,69
320005,SAN JUAN REGIONAL MEDICAL CENTER,7/1/2021,6/30/2022,207
381319,ST. ANTHONY HOSPITAL,7/1/2021,6/30/2022,25
390115,ARIA HEALTH,7/1/2021,6/30/2022,457
390160,CANONSBURG GENERAL HOSPITAL,7/1/2021,6/30/2022,104
390265,JEFFERSON REGIONAL MEDICAL CENTER,7/1/2021,6/30/2022,333
390266,GROVE CITY MEDICAL CENTER,7/1/2021,6/30/2022,67
390267,FORBES REGIONAL HOSPITAL,7/1/2021,6/30/2022,290
393038,MAGEE REHABILITATION HOSPITAL,7/1/2021,6/30/2022,83
394008,FRIENDS BEHAVIORAL HEALTH SYSTEM,1/1/2021,12/31/2021,192
450690,UT HEALTH CENTER AT TYLER,9/1/2021,8/31/2022,130
451322,GRIMES ST. JOSEPH HEALTH CENTER,7/1/2021,6/30/2022,15
452067,KPC PROMISE HOSPITAL OF DALLAS,9/1/2021,8/31/2022,66
452068,KPC PROMISE HOSPITAL OF WICHITA FALL,9/1/2021,8/31/2022,31
452073,KINDRED HOSPITAL SAN ANTONIO CENTRAL,9/1/2021,8/31/2022,44
520017,ST. JOSEPHS HOSPITAL,7/1/2021,6/30/2022,102
520116,WATERTOWN REGIONAL MEDICAL CENTER,9/1/2021,8/31/2022,91
32002,SSH - TUCSON,9/1/2021,8/31/2022,30
42004,CHRISTUS DUBUIS HOSPITAL OF HOT SPRI,9/1/2021,8/31/2022,27
42006,SSH - FORT SMITH,9/1/2021,8/31/2022,34
52032,KINDRED HOSPITAL LOS ANGELES,9/1/2021,8/31/2022,81
74011,CONNECTICUT MENTAL HEALTH CENTER,7/1/2021,6/30/2022,32
192035,LA EXTENDED CARE OF NATCHITOCHES,9/1/2021,8/31/2022,21
284003,LINCOLN REGIONAL CENTER,7/1/2021,6/30/2022,
362029,REGENCY HOSPITAL OF NORTH CENTRAL,9/1/2021,8/31/2022,87
453056,CHRISTUS TRINITY MOTHER FRANCES REHA,1/1/2021,12/31/2021,94
511300,BROADDUS HOSPITAL ASSOCIATION,1/1/2021,12/31/2021,72
673050,ENCOMPASS HEALTH REHABILITATION HOSP,10/1/2020,9/30/2021,60
12008,SSH - BIRMINGHAM,9/1/2021,8/31/2022,38
30069,HAVASU REGIONAL MEDICAL CENTER,9/1/2021,8/31/2022,163
50132,SAN GABRIEL VALLEY MEDICAL CENTER,7/1/2021,6/30/2022,273
52045,KINDRED HOSPITAL BALDWIN PARK,9/1/2021,8/31/2022,91
52049,KINDRED HOSPITAL RANCHO,9/1/2021,8/31/2022,55
53305,LUCILE PACKARD CHILDRENS HOSPITAL,9/1/2021,8/31/2022,394
103045,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,70
140029,COPLEY MEMORIAL HOSPITAL,7/1/2021,6/30/2022,210
140116,NORTHERN ILLINOIS MEDICAL CENTER,9/1/2021,8/31/2022,311
140211,DELNOR-COMMUNITY HOSPITAL,9/1/2021,8/31/2022,134
140242,CENTRAL DUPAGE HOSPITAL,9/1/2021,8/31/2022,395
141340,VALLEY WEST COMMUNITY HOSPITAL,9/1/2021,8/31/2022,25
142013,OSF HEALTHCARE TRANSITIONAL CARE HOS,9/1/2021,8/31/2022,18
290012,ST. ROSE DOMINICAN - DELIMA,7/1/2021,6/30/2022,10
290045,ST. ROSE DOMINICAN - SIENA,7/1/2021,6/30/2022,326
290053,ST. ROSE DOMINICAN - SAN MARTIN,7/1/2021,6/30/2022,130
312017,ACHS CENTRAL JERSEY,9/1/2021,8/31/2022,50
351304,TURTLE LAKE COMMUNITY HOSPITAL,7/1/2021,6/30/2022,25
351306,COOPERSTOWN MEDICAL CENTER,7/1/2021,6/30/2022,18
351311,LISBON AREA HEALTH SERVICES,7/1/2021,6/30/2022,25
372007,SSH - TULSA / MIDTOWN LLC,9/1/2021,8/31/2022,46
394026,TORRANCE STATE,7/1/2021,6/30/2022,357
450788,CORPUS CHRISTI MEDICAL CENTER,9/1/2021,8/31/2022,421
451316,MADISON ST. JOSEPH HEALTH CENTER,7/1/2021,6/30/2022,15
451360,ST LUKES HEALTH MEMORIAL SAN AUGUST,7/1/2021,6/30/2022,9
452057,NEXUS SPECIALTY HOSPITAL,9/1/2021,8/31/2022,54
454006,TERRELL STATE HOSPITAL,9/1/2021,8/31/2022,305
454008,NTSH - WITCHITA FALLS & VERNON,9/1/2021,8/31/2022,575
454094,MEDICAL CITY GREEN OAKS HOSPITAL,9/1/2021,8/31/2022,124
504002,BHC FAIRFAX HOSPITAL,9/1/2021,8/31/2022,221
512002,SSH - CHARLESTON,9/1/2021,8/31/2022,32
673052,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,60
41324,ST. VINCENT MORRILTON,7/1/2021,6/30/2022,25
50017,MERCY GENERAL HOSPITAL,7/1/2021,6/30/2022,313
50042,ST ELIZABETH  COMMUNITY HOSPTIAL,7/1/2021,6/30/2022,49
50082,ST. JOHNS REGIONAL MEDICAL CENTER,7/1/2021,6/30/2022,401
50084,ST. JOSEPHS MEDICAL CENTER,7/1/2021,6/30/2022,348
50107,MARIAN MEDICAL CENTER,7/1/2021,6/30/2022,388
50226,ANAHEIM REGIONAL MEDICAL CENTER,7/1/2021,6/30/2022,223
50414,MERCY HOSPITAL OF FOLSOM,7/1/2021,6/30/2022,106
50444,MERCY MEDICAL CENTER MERCED,7/1/2021,6/30/2022,186
50457,ST. MARYS MEDICAL CENTER,7/1/2021,6/30/2022,168
102029,SSH - FORT MYERS,9/1/2021,8/31/2022,60
140286,KISHWAUKEE COMMUNITY HOSPITAL,9/1/2021,8/31/2022,98
143027,MARIANJOY REHAB HOSPITAL & CLINIC,9/1/2021,8/31/2022,125
183028,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,40
184013,GREEN RIVER VALLEY REGIONAL MENTAL H,7/1/2021,6/30/2022,
190006,UNIVERSITY HOSPITAL & CLINICS,7/1/2021,6/30/2022,52
190298,CENTRAL LOUISIANA SURGICAL HOSPITAL,6/1/2021,6/30/2022,24
193093,LAFAYETTE PHYSICAL REHAB,9/1/2021,8/31/2022,32
193097,COVINGTON AMG REHABILITATION HOSPITA,9/1/2021,8/31/2022,24
241370,ST. GABRIELS HOSPITAL,7/1/2021,6/30/2022,25
252003,SSH - BELHAVEN,9/1/2021,8/31/2022,33
351315,OAKES COMMUNITY HOSPITAL,7/1/2021,6/30/2022,20
351318,CARRINGTON HEALTH CENTER,7/1/2021,6/30/2022,25
351324,MERCY HOSPITAL OF VALLEY CITY,7/1/2021,6/30/2022,25
361302,TWIN CITY HOSPITAL,7/1/2021,6/30/2022,25
363035,SUMMA  REHAB HOSPITAL,2/1/2021,1/31/2022,60
363038,CLEVELAND CLINIC REHABILITATION HOSP,9/1/2021,8/31/2022,180
371306,MERCY HEALTH/LOVE COUNTY,7/1/2021,6/30/2022,25
393304,THE CHILDRENS HOME OF PITTSBURGH,7/1/2021,6/30/2022,
450023,CITIZENS MEDICAL CENTER,7/1/2021,6/30/2022,306
34033,CORNERSTONE BEHAVIORAL HEALTH EL DOR,9/1/2021,8/31/2022,54
50129,ST. BERNARDINE MEDICAL CENTER,7/1/2021,6/30/2022,313
50191,ST. MARY MEDICAL CENTER,7/1/2021,6/30/2022,307
50242,DOMINICAN HOSPITAL,7/1/2021,6/30/2022,222
50280,MERCY MEDICAL CENTER REDDING,7/1/2021,6/30/2022,266
50281,ALHAMBRA HOSPITAL,7/1/2021,6/30/2022,144
50283,VALLEY MEMORIAL HOSPITAL,9/1/2021,8/31/2022,242
50289,SETON MEDICAL CENTER,7/1/2021,6/30/2022,478
50516,MERCY SAN JUAN MEDICAL CENTER,7/1/2021,6/30/2022,377
50735,WHITTIER HOSPITAL MEDICAL CENTER,7/1/2021,6/30/2022,178
50736,MONTEREY PARK HOSPITAL,7/1/2021,6/30/2022,101
51309,JEROLD PHELPS COMMUNITY HOSPITAL,7/1/2021,6/30/2022,17
140008,GOTTLIEB MEMORIAL HOSPITAL,7/1/2021,6/30/2022,201
241380,ST. JOSEPHS AREA HEALTH SERVICES,7/1/2021,6/30/2022,25
330406,SUNNYVIEW HOSPITAL AND REHABILITATIO,7/1/2021,6/30/2022,115
451305,BURLESON ST. JOSEPH HEALTH CENTER,7/1/2021,6/30/2022,15
452034,CORNERSTONE HOSPITAL OF AUSTIN,9/1/2021,8/31/2022,157
510023,WEIRTON MEDICAL CENTER,7/1/2021,6/30/2022,167
673034,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,60
20024,CENTRAL PENINSULA GENERAL HOSPITAL,7/1/2021,6/30/2022,109
30119,MERCY GILBERT MEDICAL CENTER,7/1/2021,6/30/2022,197
50295,MERCY HOSPITAL,7/1/2021,6/30/2022,229
50737,GARFIELD MEDICAL CENTER,7/1/2021,6/30/2022,210
50738,GREATER EL MONTE COMMUNITY HOSPITAL,7/1/2021,6/30/2022,117
50747,SOUTH COAST GLOBAL MEDICAL CENTER,9/1/2021,8/31/2022,178
102001,SSH - MIAMI,9/1/2021,8/31/2022,47
121306,SAMUEL MAHELONA MEMORIAL HOSPITAL,7/1/2021,6/30/2022,80
130007,ST. ALPHONSUS REGIONAL MED CENTER,7/1/2021,6/30/2022,378
242004,M HEALTH FAIRVIEW BETHESDA HOSPITAL,9/1/2021,8/31/2022,24
312023,SSH - ATLANTIC CITY,9/1/2021,8/31/2022,30
330140,ST. JOSEPHS HOSPITAL HEALTH CENTER,7/1/2021,6/30/2022,431
390012,LANSDALE HOSPITAL,7/1/2021,6/30/2022,140
390032,ALLE-KISKI MEDICAL CENTER,7/1/2021,6/30/2022,188
390050,ALLEGHENY GENERAL HOSPITAL,7/1/2021,6/30/2022,552
390093,CLARION HOSPITAL,7/1/2021,6/30/2022,65
390113,MEADVILLE MEDICAL CENTER,7/1/2021,6/30/2022,232
450211,CHI ST LUKES HEALTH MEMORIAL LUFKIN,7/1/2021,6/30/2022,166
453042,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,77
673066,ENCOMPASS HEALTH REHABILITATION HOSP,10/1/2020,9/30/2021,60
43029,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,80
140130,NORTHWESTERN LAKE FOREST HOSPITAL,9/1/2021,8/31/2022,122
141300,THOMAS H BOYD CRITICAL ACC HOSPITAL,9/1/2021,8/31/2022,25
191308,PREVOST MEMORIAL HOSPITAL,9/1/2021,8/31/2022,25
193031,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,47
204006,ACADIA HOSPITAL,10/1/2020,9/30/2021,68
180011,SAINT JOSEPH LONDON,7/1/2021,6/30/2022,122
180025,FLAGET MEMORIAL HOSPITAL,7/1/2021,6/30/2022,52
240210,HEALTHEAST  ST JOHNS HOSPITAL,1/1/2021,12/31/2021,184
254009,NORTH MISSISSIPPI STATE HOSPITAL,7/1/2021,6/30/2022,50
392045,SSH - MCKEESPORT,9/1/2021,8/31/2022,30
113034,ENCOMPASS HEALTH REHABILITATION HOSP,6/29/2021,9/30/2022,50
140054,MACNEAL HOSPITAL,7/1/2021,6/30/2022,328
140062,PALOS COMMUNITY HOSPITAL,9/1/2021,8/31/2022,352
152013,KINDRED HOSPITAL INDIANAPOLIS NORTH,9/1/2021,8/31/2022,45
192010,INTENSIVE SPECIALTY HOSPITAL,9/1/2021,8/31/2022,196
210044,GREATER BALTIMORE MEDICAL CENTER,7/1/2021,6/30/2022,296
240187,HUTCHINSON HEALTH CARE,1/1/2021,12/31/2021,37
241377,ST. FRANCIS MEDICAL CENTER,7/1/2021,6/30/2022,105
393307,ST CHRISTOPHERS HOSPITAL FOR CHILDR,7/1/2021,6/30/2022,188
394004,DANVILLE STATE,7/1/2021,6/30/2022,161
394054,EAST END BEHAVIORAL HEALTH HOSPITAL,9/1/2021,8/31/2022,49
423035,ENCOMPASS HEALTH REHABILITATION OF G,8/20/2021,9/30/2022,40
520078,ASCENSION ST. FRANCIS HOSPITAL,7/1/2021,6/30/2022,154
713025,NORTH SHORE REHABILITATION HOSPITAL,9/1/2021,8/31/2022,30
54122,NAPA STATE HOSPITAL,7/1/2021,6/30/2022,1418
54146,TELECARE HERITAGE PHF,7/1/2021,6/30/2022,26
54152,TELECARE SANTA CRUZ PHF,7/1/2021,6/30/2022,16
100049,HIGHLANDS REGIONAL MEDICAL CENTER,11/1/2020,10/31/2021,109
100212,HCA FLORIDA OCALA HOSPITAL,9/1/2021,8/31/2022,510
160080,MERCYONE CLINTON MEDICAL CENTER,7/1/2021,6/30/2022,107
161326,MADISON COUNTY MEMORIAL HOSPITAL,7/1/2021,6/30/2022,25
161331,MERCY MEDICAL CENTER - NEW HAMPTON,7/1/2021,6/30/2022,11
161355,KNOXVILLE COMMUNITY HOSPITAL INC,7/1/2021,6/30/2022,25
161361,VAN DIEST MEDICAL CENTER,7/1/2021,6/30/2022,25
181329,SAINT JOSEPH BEREA,7/1/2021,6/30/2022,25
192023,NORTHSHORE EXTENDED CARE HOSPITAL,9/1/2021,8/31/2022,58
201311,DOWN EAST COMMUNITY HOSPITAL,1/1/2021,12/31/2021,25
220001,HEALTHALLIANCE-CLINTON,10/1/2020,9/30/2021,145
220029,ANNA JAQUES HOSPITAL,10/1/2020,9/30/2021,140
230003,SPECTRUM HEALTH ZEELAND,1/1/2021,12/31/2021,55
230197,GENESYS REGIONAL MEDICAL CTR.,7/1/2021,6/30/2022,373
250069,RUSH FOUNDATION HOSPITAL,1/1/2021,12/31/2021,191
323028,LOVELACE REHABILITATION HOSPITAL,9/1/2021,8/31/2022,62
460013,MOUNTAIN VIEW HOSPITAL,9/1/2021,8/31/2022,124
